month,site,depth,perm.quadrat,transect.meter.mark,cattle_tag,veg.density,f.density,total.density,biomass,perc.flowering
June,LP,SH,3,,61,34,2,36,12.299,0.055555556
June,LP,SH,3,,47,50,3,53,17.676,0.056603774
June,LP,DP,2,,57,9,1,10,3.411,0.1
June,LP,DP,2,,70,2,0,2,0.507,0
June,LP,DP,2,,31,2,0,2,#VALUE!,0
June,LP,DP,2,,73,3,0,3,1.237,0
June,LP,DP,2,,30,4,0,4,1.086,0
June,LP,DP,1,,20,7,1,8,3.438,0.125
June,LP,DP,1,,25,3,0,3,1.445,0
June,LP,DP,3,,15,5,3,8,3.801,0.375
June,LP,DP,3,,43,12,0,12,5.641,0
June,LP,DP,3,,52,6,1,7,2.575,0.142857143
June,LP,DP,3,,10,2,1,3,2.752,0.333333333
June,LP,DP,3,,26,12,0,12,3.802,0
June,LP,DP,1,,34,2,0,2,0.554,0
June,LP,DP,1,,19,2,0,2,0.681,0
June,LP,DP,1,,44,6,0,6,0.997,0
August,DC,SH,,2,,23,3,26,,0.115384615
August,DC,SH,,4,,9,2,11,,0.181818182
August,DC,SH,,6,,16,3,19,,0.157894737
August,DC,SH,,8,,22,3,25,,0.12
August,DC,SH,,10,,22,1,23,,0.043478261
August,DC,SH,,12,,14,1,15,,0.066666667
August,DC,SH,,14,,26,0,26,,0
August,DC,SH,,16,,12,1,13,,0.076923077
August,DC,SH,,18,,20,4,24,,0.166666667
August,DC,SH,,20,,13,4,17,,0.235294118
August,DC,SH,,22,,20,0,20,,0
August,DC,SH,,24,,10,4,14,,0.285714286
August,DC,SH,,28,,8,2,10,,0.2
August,DC,DP,,0,,5,1,6,,0.166666667
August,DC,DP,,2,,2,0,2,,0
August,DC,DP,,4,,9,1,10,,0.1
August,DC,DP,,6,,0,2,2,,1
August,DC,DP,,8,,0,0,0,,
August,DC,DP,,10,,5,1,6,,0.166666667
August,DC,DP,,12,,5,0,5,,0
August,DC,DP,,14,,9,0,9,,0
August,DC,DP,,16,,4,0,4,,0
August,DC,DP,,18,,5,1,6,,0.166666667
August,DC,DP,,20,,3,1,4,,0.25
August,DC,DP,,24,,6,1,7,,0.142857143
August,DC,DP,,28,,6,0,6,,0
August,NB,SH,,2,,25,1,26,,0.038461538
August,NB,SH,,4,,20,1,21,,0.047619048
August,NB,SH,,6,,27,1,28,,0.035714286
August,NB,SH,,8,,24,0,24,,0
August,NB,SH,,10,,23,2,25,,0.08
August,NB,SH,,12,,28,0,28,,0
August,NB,SH,,14,,43,5,48,,0.104166667
August,NB,SH,,16,,39,2,41,,0.048780488
August,NB,SH,,18,,38,1,39,,0.025641026
August,NB,SH,,20,,43,1,44,,0.022727273
August,NB,SH,,22,,32,1,33,,0.03030303
August,NB,SH,,24,,55,3,58,,0.051724138
August,NB,SH,,26,,52,2,54,,0.037037037
August,NB,SH,,28,,60,0,60,,0
August,NB,SH,,30,,43,1,44,,0.022727273
August,NB,DP,,2,,3,0,3,,0
August,NB,DP,,4,,3,0,3,,0
August,NB,DP,,6,,2,0,2,,0
August,NB,DP,,8,,6,0,6,,0
August,NB,DP,,10,,6,0,6,,0
August,NB,DP,,12,,15,0,15,,0
August,NB,DP,,14,,8,0,8,,0
August,NB,DP,,16,,6,0,6,,0
August,NB,DP,,18,,6,0,6,,0
August,NB,DP,,20,,18,0,18,,0
August,NB,DP,,22,,7,0,7,,0
August,NB,DP,,24,,8,0,8,,0
August,NB,DP,,26,,11,0,11,,0
August,NB,DP,,28,,8,1,9,,0.111111111
August,NB,DP,,30,,8,1,9,,0.111111111
August,NB,DP,,32,,5,2,7,,0.285714286
August,NB,DP,,34,,16,1,17,,0.058823529
August,NB,DP,,36,,19,2,21,,0.095238095
August,LP,SH,,2,,16,0,16,,0
August,LP,SH,,4,,18,1,19,,0.052631579
August,LP,SH,,6,,24,1,25,,0.04
August,LP,SH,,8,,19,1,20,,0.05
August,LP,SH,,10,,0,0,0,,
August,LP,SH,,12,,29,1,30,,0.033333333
August,LP,SH,,14,,20,1,21,,0.047619048
August,LP,SH,,16,,36,1,37,,0.027027027
August,LP,SH,,18,,11,0,11,,0
August,LP,SH,,20,,22,0,22,,0
August,LP,SH,,22,,25,0,25,,0
August,LP,SH,,24,,6,1,7,,0.142857143
August,LP,SH,,26,,10,1,11,,0.090909091
August,LP,SH,,28,,17,1,18,,0.055555556
August,LP,SH,,30,,11,1,12,,0.083333333
August,LP,SH,,32,,17,1,18,,0.055555556
August,LP,DP,,2,,12,1,13,,0.076923077
August,LP,DP,,4,,7,1,8,,0.125
August,LP,DP,,6,,4,2,6,,0.333333333
August,LP,DP,,8,,9,1,10,,0.1
August,LP,DP,,10,,17,1,18,,0.055555556
August,LP,DP,,12,,15,2,17,,0.117647059
August,LP,DP,,14,,6,2,8,,0.25
August,LP,DP,,16,,12,4,16,,0.25
August,LP,DP,,18,,9,1,10,,0.1
August,LP,DP,,20,,9,0,9,,0
August,LP,DP,,22,,3,0,3,,0
August,LP,DP,,24,,13,0,13,,0
August,LP,DP,,26,,12,2,14,,0.142857143
August,LP,DP,,28,,19,3,22,,0.136363636
August,LP,DP,,30,,4,1,5,,0.2
August,WB,SH,,2,,18,1,19,,0.052631579
August,WB,SH,,4,,24,0,24,,0
August,WB,SH,,6,,12,3,15,,0.2
August,WB,SH,,8,,20,4,24,,0.166666667
August,WB,SH,,10,,25,0,25,,0
August,WB,SH,,12,,26,0,26,,0
August,WB,SH,,14,,20,1,21,,0.047619048
August,WB,SH,,16,,29,1,30,,0.033333333
August,WB,SH,,18,,14,0,14,,0
August,WB,SH,,20,,8,1,9,,0.111111111
August,WB,SH,,22,,27,2,29,,0.068965517
August,WB,SH,,24,,0,0,0,,
August,WB,SH,,26,,17,0,17,,0
August,WB,SH,,28,,12,0,12,,0
August,WB,SH,,30,,6,0,6,,0
August,WB,SH,,32,,21,0,21,,0
August,WB,DP,,2,,9,0,9,,0
August,WB,DP,,4,,12,3,15,,0.2
August,WB,DP,,6,,0,0,0,,
August,WB,DP,,8,,13,1,14,,0.071428571
August,WB,DP,,10,,5,1,6,,0.166666667
August,WB,DP,,12,,7,0,7,,0
August,WB,DP,,14,,5,0,5,,0
August,WB,DP,,16,,9,1,10,,0.1
August,WB,DP,,18,,7,0,7,,0
August,WB,DP,,20,,8,2,10,,0.2
August,WB,DP,,22,,10,0,10,,0
August,WB,DP,,24,,9,0,9,,0
August,WB,DP,,26,,8,0,8,,0
August,WB,DP,,28,,14,0,14,,0
August,WB,DP,,30,,8,1,9,,0.111111111
August,WB,DP,,32,,4,2,6,,0.333333333
August,WB,DP,,34,,6,2,8,,0.25
